,user,pid,playlist,track_name,artist_name,album_name
0,0,2934,Country,It Don't Hurt Like It Used To,Billy Currington,Summer Forever
1,0,2934,Country,Do I Make You Wanna,Billy Currington,Summer Forever
2,0,2934,Country,Mine Would Be You,Blake Shelton,Based on a True Story...
3,0,2934,Country,Drink On It,Blake Shelton,Red River Blue
4,0,2934,Country,A Guy With a Girl,Blake Shelton,If I'm Honest
5,0,2934,Country,Whiskey Lullaby,Brad Paisley,Original Album Classics
6,0,2934,Country,Today,The Smashing Pumpkins,"Rotten Apples, The Smashing Pumpkins Greatest Hits"
7,0,2934,Country,Small Town Throwdown,Brantley Gilbert,Just As I Am
8,0,2934,Country,Tried To Tell Ya,Brantley Gilbert,The Devil Don't Sleep
9,0,2934,Country,The Weekend,Brantley Gilbert,The Devil Don't Sleep
10,0,2934,Country,Bottoms Up,Brantley Gilbert,Just As I Am
11,0,2934,Country,One Hell Of An Amen,Brantley Gilbert,Just As I Am
12,0,2934,Country,Wanna Be That Song,Brett Eldredge,Illinois
13,0,2934,Country,21 Summer,Brothers Osborne,Pawn Shop
14,0,2934,Country,Ready Set Roll,Chase Rice,Ignite the Night
15,0,2934,Country,I'm Comin' Over,Chris Young,I'm Comin' Over
16,0,2934,Country,Let Me See Ya Girl,Cole Swindell,Cole Swindell
17,0,2934,Country,You Should Be Here,Cole Swindell,You Should Be Here
18,0,2934,Country,Wildlife,RYE,Wildlife
19,0,2934,Country,Middle of a Memory,Cole Swindell,You Should Be Here
20,0,2934,Country,Flatliner (feat. Dierks Bentley),Cole Swindell,You Should Be Here
21,0,2934,Country,Nothin' Like You,Dan + Shay,Where It All Began
22,0,2934,Country,How Not To,Dan + Shay,Obsessed
23,0,2934,Country,Alright,Darius Rucker,Learn To Live
24,0,2934,Country,Mind Reader,Dustin Lynch,Where It's At
25,0,2934,Country,Small Town Boy,Dustin Lynch,Current Mood
26,0,2934,Country,Small Town Boy,Dustin Lynch,Current Mood
27,0,2934,Country,My Girl,Dylan Scott,Dylan Scott
28,0,2934,Country,Even If It Breaks Your Heart,Eli Young Band,Life At Best
29,0,2934,Country,Kill A Word,Eric Church,Mr. Misunderstood
30,0,2934,Country,Mr. Misunderstood,Eric Church,Mr. Misunderstood
31,0,2934,Country,Talladega,Eric Church,The Outsiders
32,0,2934,Country,This Is How We Roll,Florida Georgia Line,Here's To The Good Times...This Is How We Roll
33,0,2934,Country,Get Your Shine On,Florida Georgia Line,Here's To The Good Times
34,0,2934,Country,Anything Goes,Florida Georgia Line,Anything Goes
35,0,2934,Country,May We All,Florida Georgia Line,Dig Your Roots
36,0,2934,Country,"God, Your Mama, And Me",Florida Georgia Line,Dig Your Roots
37,0,2934,Country,American Country Love Song,Jake Owen,American Love
38,0,2934,Country,Alone With You,Jake Owen,Barefoot Blue Jean Night
39,0,2934,Country,Barefoot Blue Jean Night,Jake Owen,Barefoot Blue Jean Night
40,0,2934,Country,Tonight Looks Good on You,Jason Aldean,"Old Boots, New Dirt"
41,0,2934,Country,Burnin' It Down,Jason Aldean,"Old Boots, New Dirt"
42,0,2934,Country,Fly Over States,Jason Aldean,My Kinda Party
43,0,2934,Country,Night Train,Jason Aldean,Night Train
44,0,2934,Country,My Kinda Party,Jason Aldean,My Kinda Party
45,0,2934,Country,Lights Come On,Jason Aldean,They Don't Know
46,0,2934,Country,Bad,Rocky,Fresh
47,0,2934,Country,They Don't Know,Jon B.,Jon B - Greatest Hits...Are U Still Down?
48,0,2934,Country,Any Ol' Barstool,Jason Aldean,They Don't Know
49,0,2934,Country,Hometown Girl,Josh Turner,Deep South
50,0,2934,Country,Lettin' The Night Roll,Justin Moore,Off The Beaten Path
51,0,2934,Country,Somebody Else Will,Justin Moore,Kinda Don't Care
52,0,2934,Country,Somebody Like You,Keith Urban,Golden Road
53,0,2934,Country,Long Hot Summer,Keith Urban,Get Closer
54,0,2934,Country,The Fighter,Keith Urban,Ripcord
55,0,2934,Country,You Look Good In My Shirt,Keith Urban,Golden Road
56,0,2934,Country,Yeah Boy,Kelsea Ballerini,The First Time
57,0,2934,Country,Save It for a Rainy Day,Kenny Chesney,The Big Revival
58,0,2934,Country,Somewhere With You,Kenny Chesney,Hemingway's Whiskey
59,0,2934,Country,She's Got It All,Kenny Chesney,I Will Stand
60,0,2934,Country,All the Pretty Girls,Kenny Chesney,Cosmic Hallelujah
61,0,2934,Country,I Love This Life,LOCASH,The Fighters
62,0,2934,Country,Ring On Every Finger,LOCASH,The Fighters
63,0,2934,Country,You Look Good,Lady Antebellum,Heart Break
64,0,2934,Country,Rain Is a Good Thing,Luke Bryan,Doin' My Thing
65,0,2934,Country,Tailgate Blues,Luke Bryan,Tailgates & Tanlines
66,0,2934,Country,Country Man,Luke Bryan,I'll Stay Me
67,0,2934,Country,Crash My Party,Luke Bryan,Crash My Party
68,0,2934,Country,Drunk On You,Luke Bryan,Tailgates & Tanlines
69,0,2934,Country,That's My Kind Of Night,Luke Bryan,Crash My Party
70,0,2934,Country,Move,Luke Bryan,Kill The Lights
71,0,2934,Country,I See You,Luke Bryan,Crash My Party
72,0,2934,Country,Strip It Down,Luke Bryan,Kill The Lights
73,0,2934,Country,Fast,Jason Aldean,Wide Open
74,0,2934,Country,Kill The Lights,Luke Bryan,Kill The Lights
75,0,2934,Country,Just Over,Luke Bryan,Kill The Lights
